Enterprise Name,Site,Area,Work Center,Work Unit,Equipment ID
Bapco,Sitra Refinery,Crude Distillation Unit,CDU Train A,Boiler Unit,BX-101
Bapco,Sitra Refinery,Crude Distillation Unit,CDU Train A,Boiler Unit,BX-102
Bapco,Sitra Refinery,Crude Distillation Unit,CDU Train B,Heat Exchanger Unit,HE-201
Bapco,Sitra Refinery,Vacuum Distillation Unit,VDU Train A,Vacuum Tower,VT-301
Bapco,Sitra Refinery,Vacuum Distillation Unit,VDU Train A,Overhead Condenser,OC-302
Bapco,Sitra Refinery,Reforming Unit,CRU Train A,Reactor Unit,RX-401
Bapco,Sitra Refinery,Reforming Unit,CRU Train A,Compressor Unit,CP-402
Bapco,Sitra Refinery,Fluid Catalytic Cracking,FCC Train A,Regenerator,RG-501
Bapco,Sitra Refinery,Fluid Catalytic Cracking,FCC Train A,Main Fractionator,MF-502
Bapco,Sitra Refinery,Utilities,Steam Generation,Steam Turbine,ST-601
